layer, center, hexagon,,,,,,, binCount, mdtCount, population
1,POINT (105.85396277530175 21.032251897573023),POLYGON ((105.85507535523521 21.034050534689953, 105.85618790830878 21.032251883099224, 105.85507532837649 21.030453253219193, 105.85285022222702 21.030453253219193, 105.85173764229472 21.032251883099224, 105.85285019536829 21.034050534689953, 105.85507535523521 21.034050534689953)),5,10,249.3439192
1,POINT (105.86397611562124 21.030453159119254),POLYGON ((105.8650886821239 21.032251796236523, 105.86620122176949 21.030453144646806, 105.865088655268 21.02865451476576, 105.86286357597446 21.02865451476576, 105.86175100947297 21.030453144646806, 105.86286354911857 21.032251796236523, 105.8650886821239 21.032251796236523)),0,null,null
1,POINT (105.85062616339836 21.02685568234903),POLYGON ((105.85173870304368 21.028654319466973, 105.85285121583763 21.026855667879296, 105.85173867619348 21.025057037996216, 105.84951365060326 21.025057037996216, 105.8484011109591 21.026855667879296, 105.84951362375304 21.028654319466973, 105.85173870304368 21.028654319466973)),2,5,13.90690691
1,POINT (105.85730111936785 21.02325846597653),POLYGON ((105.85841363216345 21.02505710309515, 105.85952611811337 21.023258451509506, 105.85841360531892 21.02145982162439, 105.85618863341679 21.02145982162439, 105.85507612062234 21.023258451509506, 105.85618860657226 21.02505710309515, 105.85841363216345 21.02505710309515)),5,6,141.2438805
1,POINT (105.85730111936786 21.03045302891862),POLYGON ((105.85841368586954 21.03225166603589, 105.85952622551417 21.03045301444617, 105.85841365901365 21.028654384565122, 105.85618857972206 21.028654384565122, 105.85507601322153 21.03045301444617, 105.85618855286617 21.03225166603589, 105.85841368586954 21.03225166603589)),0,null,null
1,POINT (105.8506261633984 21.02325840087798),POLYGON ((105.85173867619348 21.025057037996607, 105.8528511621429 21.02325838641096, 105.85173864934895 21.021459756525843, 105.84951367744777 21.021459756525843, 105.84840116465384 21.02325838641096, 105.84951365060326 21.025057037996607, 105.85173867619348 21.025057037996607)),2,2,12.62184712
1,POINT (105.86063845639893 21.032251832419547),POLYGON ((105.8617510363319 21.034050469536478, 105.86286358940498 21.03225181794575, 105.86175100947317 21.030453188065717, 105.85952590332468 21.030453188065717, 105.85841332339287 21.03225181794575, 105.85952587646595 21.034050469536478, 105.8617510363319 21.034050469536478)),2,4,171.7060932
1,POINT (105.85062616339836 21.030452963820068),POLYGON ((105.85173872989957 21.03225160093734, 105.8528512695437 21.030452949347623, 105.85173870304368 21.02865431946658, 105.84951362375304 21.02865431946658, 105.84840105725301 21.030452949347623, 105.84951359689717 21.03225160093734, 105.85173872989957 21.03225160093734)),2,3,60.04494382
1,POINT (105.85396366151508 21.02145979269503),POLYGON ((105.85507616088745 21.023258429813996, 105.85618863341699 21.021459778229364, 105.85507613404576 21.019661148343232, 105.85285118898437 21.019661148343232, 105.85173868961316 21.021459778229364, 105.85285116214268 21.023258429813996, 105.85507616088745 21.023258429813996)),3,4,87.98577289
1,POINT (105.84728838331048 21.025057009039564),POLYGON ((105.84840090952976 21.02685564615785, 105.84951340890048 21.025056994571187, 105.84840088268238 21.023258364687088, 105.84617588393861 21.023258364687088, 105.8450633577205 21.025056994571187, 105.84617585709124 21.02685564615785, 105.84840090952976 21.02685564615785)),4,5,53.31559809
1,POINT (105.84728838331048 21.02145972756852),POLYGON ((105.84840088268238 21.023258364687482, 105.84951335521143 21.021459713102853, 105.84840085584071 21.019661083216725, 105.84617591078029 21.019661083216725, 105.84506341140955 21.021459713102853, 105.84617588393861 21.023258364687482, 105.84840088268238 21.023258364687482)),4,4,48.19304092
1,POINT (105.85062616339835 21.037647526762157),POLYGON ((105.85173878362838 21.039446163878075, 105.85285137698999 21.03764751228429, 105.85173875676112 21.03584888240731, 105.8495135700356 21.03584888240731, 105.84840094980675 21.03764751228429, 105.84951354316834 21.039446163878075, 105.85173878362838 21.039446163878075)),4,7,184.0555039
